time,susceptible,exposed,infected,vaccinatedD1,vaccinatedD2,recovered,new_exposed,new_infected,new_recovered,deaths,error
324,0.043589301712723565,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,2.1407706560284635e-05,0.910126166318613,0.0,0.0,0.0,0.045873504002705935,0.9996114501259308
325,0.04357431631813136,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,2.1407706560284635e-05,0.9101475740251733,0.0,0.0,0.0,0.045873504002705935,0.9996178724378989
326,0.04355397899689909,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,2.1407706560284635e-05,0.9101700521170616,0.0,0.0,0.0,0.045873504002705935,0.999620013208555
327,0.04353792321697888,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,2.1407706560284635e-05,0.9101903894382939,0.0,0.0,0.0,0.045873504002705935,0.999624294749867
328,0.043522937822386684,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,2.0337321232270403e-05,0.9102139379155102,0.0,0.0,0.0,0.045873504002705935,0.9996317874471631
329,0.04350474127181044,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.926693590425617e-05,0.9102321344660864,0.0,0.0,0.0,0.045873504002705935,0.999630717061835
330,0.04349082626254625,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.926693590425617e-05,0.9102621052552708,0.0,0.0,0.0,0.045873504002705935,0.9996467728417553
331,0.04348226317992214,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.8196550576241943e-05,0.9102803018058471,0.0,0.0,0.0,0.045873504002705935,0.9996553359243794
332,0.043460855473361856,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.8196550576241943e-05,0.9102995687417513,0.0,0.0,0.0,0.045873504002705935,0.9996531951537234
333,0.0434415885374576,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.8196550576241943e-05,0.9103241876042957,0.0,0.0,0.0,0.045873504002705935,0.9996585470803635
334,0.04342874391352143,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9103541583934801,0.0,0.0,0.0,0.045873504002705935,0.9996746028602838
335,0.04341054736294519,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9103702141734002,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
336,0.043383787729744834,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9103905514946325,0.0,0.0,0.0,0.045873504002705935,0.9996660397776596
337,0.04336452079384057,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.910423733439801,0.0,0.0,0.0,0.045873504002705935,0.9996799547869237
338,0.04334525385793632,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9104537042289854,0.0,0.0,0.0,0.045873504002705935,0.9996906586402039
339,0.04332812769268809,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9104708303942336,0.0,0.0,0.0,0.045873504002705935,0.9996906586402039
340,0.04331528306875192,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9104911677154659,0.0,0.0,0.0,0.045873504002705935,0.9996981513375001
341,0.04328531227956752,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9105093642660421,0.0,0.0,0.0,0.045873504002705935,0.9996863770988919
