time,susceptible,exposed,vaccinatedD1,vaccinatedD2,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
73,0.00010911951917445904,0.0003169309832496156,0.0027995682311503936,0.996621533209974,9.142628024543146e-05,5.6510725096513925e-05,4.6150425495486376e-05,1.4867702674201879e-05,5.583797836917448e-06,4.103755036770655e-06,0.9999991927039272
74,9.842284620976175e-05,0.00035171198905306524,0.0025088070955942825,0.9968723331899262,0.0001013156571373214,6.276726966077082e-05,5.1128751277798316e-05,1.634774547434867e-05,6.256544564256899e-06,4.5746777459082705e-06,0.9999999327253274
75,8.839891997240392e-05,0.000390058552511414,0.0022487904854775844,0.99708552662782,0.00011221415412022051,6.969656095236718e-05,5.671254911471576e-05,1.816416163816519e-05,6.79474194612846e-06,4.978325782311941e-06,0.9999996636266363
76,7.965321251699106e-05,0.00043277796969746915,0.002016356491181804,0.997263804510565,0.00012418904586686274,7.723132429856903e-05,6.290181900623872e-05,2.024967649291749e-05,7.400214000733967e-06,5.651072509651393e-06,0.9999996636266363
77,7.164752646165159e-05,0.00048000478995669865,0.001807939555052042,0.9974103960224523,0.00013777852975911968,8.59770317539819e-05,6.956201160689929e-05,2.246974069313768e-05,8.274784746275253e-06,6.323819236990844e-06,1.0000000672746727
78,6.444913647911946e-05,0.0005324790346891759,0.001621588711579014,0.997526512107591,0.00015271350710605548,9.526093659126634e-05,7.76349723349727e-05,2.4891628911559708e-05,9.41845418275232e-06,6.929291291596351e-06,0.9999999327253274
79,5.819259191486256e-05,0.0005906716266040385,0.0014549493472170317,0.9976139019074725,0.00016912852725313812,0.00010562123619229388,8.59770317539819e-05,2.744806647544962e-05,1.0360299601027553e-05,7.602038018935802e-06,1.0000000672746727
80,5.233969538700933e-05,0.0006553898617740936,0.0013053977497294717,0.9976740454648966,0.00018735996356403724,0.00011719247990253245,9.559730995493607e-05,3.067725076667899e-05,1.1436694364770675e-05,8.409334091743144e-06,1.0000001345493454
81,4.729409493196344e-05,0.0007276428602903508,0.001171588425661655,0.9977069427798635,0.00020787873874789052,0.00012957101968557837,0.00010582306021049572,3.4108259076110194e-05,1.2782187819449579e-05,9.41845418275232e-06,1.0000003363733636
82,4.2248494476917555e-05,0.0008072960728073419,0.0010513013108133609,0.9977136702471369,0.00023041575411376214,0.0001437659756324408,0.00011759612793893613,3.801019009467901e-05,1.3993131928660592e-05,1.0562123619229389e-05,0.9999992599786
83,3.81447394401469e-05,0.0008960986408161494,0.0009439982078027183,0.9976950351627896,0.0002556437563889916,0.00015923915036124818,0.00013071468912205544,4.177757176777994e-05,1.554044940154133e-05,1.1705793055706457e-05,0.9999998654506546
84,3.451190711251386e-05,0.0009948578603895808,0.0008476608764477089,0.9976499611320578,0.00028329364688264305,0.0001763941919084042,0.00014517874375985363,4.662134820462399e-05,1.7155041547156013e-05,1.2984011837651415e-05,0.9999996636266364
85,3.101362413034872e-05,0.0011047174009641133,0.0007612129219845894,0.9975781790562507,0.0003143745456857257,0.00019570202298304645,0.00016145921456146836,5.159967398693593e-05,1.9106007056440423e-05,1.4262230619596372e-05,0.9999994618026181
86,2.8053538530055128e-05,0.001226686382630756,0.0006833761256314149,0.9974798234847136,0.00034875190345277164,0.0002169608195669731,0.00017928700283596384,5.7250746496587326e-05,2.1258796583926668e-05,1.6011372110678946e-05,0.9999996636266363
87,2.5295276947963377e-05,0.0013624466722078573,0.0006139486633699834,0.997352808902592,0.0003870984669111204,0.00024050695502385392,0.00019913303129247766,6.337274171537634e-05,2.3613410129614747e-05,1.762596425629363e-05,0.999999730901309
88,2.2806114056807406e-05,0.0015133437631500962,0.0005514504924001484,0.9971963280138129,0.0004295487854062398,0.0002667440773900925,0.00022153549731288139,7.050385702517451e-05,2.6035298348036774e-05,1.9442380420110148e-05,0.9999996636266364
89,2.0586049856587218e-05,0.0016813286209667571,0.0004953434153400382,0.997008900775576,0.00047643923230179954,0.0002958740106838908,0.0002461580275335053,7.830771906231216e-05,2.899538394833036e-05,2.1796993965798228e-05,1.0000002690986909
90,1.856780967456886e-05,0.0018678140137852533,0.00044542560817145086,0.9967876343769542,0.000528711653016075,0.0003280313042507166,0.00027347154466348707,8.691887717225714e-05,3.222456823955973e-05,2.415160751148631e-05,1.0000003363733638
91,1.6616844165284453e-05,0.0020414499441115657,0.00039988065473056997,0.9965644170128228,0.0005868369702582035,0.00036375415547244144,0.0002703096350449916,9.647188070047735e-05,3.599194991266066e-05,2.6708045075376224e-05,0.9999996636266363
92,1.5069526692403715e-05,0.0021937598031812173,0.0003595158510902029,0.9963465816225103,0.000651286106737323,0.0004034462123854691,0.00025961296208029433,0.00010703400431970673,3.969205691302764e-05,2.9668130675669813e-05,0.9999993272532726
93,1.3522209219522975e-05,0.002363762901179897,0.00032325480248660644,0.9960959161919037,0.0007230009078717086,0.0004475783976989371,0.0002888101700468265,0.00011900889606634898,4.4064910640734075e-05,3.283004029416524e-05,0.9999998654506546
94,1.2445814455779854e-05,0.0025531411049259526,0.0002905593115379091,0.9958087206140025,0.0008027213950614336,0.0004963525354310473,0.00032157293566825783,0.00013212745724946827,4.85723137139084e-05,3.673197131273405e-05,1.0000006727467274
95,1.096577165563306e-05,0.0027285261767433476,0.00026109300488044116,0.995516277611628,0.0008914566883975072,0.0005505759216546071,0.0003224475064137991,0.00014679333590546833,5.4290660896293736e-05,4.063390233130287e-05,0.9999995290772908
96,9.956651564623882e-06,0.0029247663971082656,0.0002351249812051383,0.9951850843977588,0.0009896777105890672,0.0006107867537514881,0.0003588431043628634,0.00016327563072528488,6.0143557424146965e-05,4.487220671354142e-05,1.0000002690986909
97,9.082080819082596e-06,0.003130357796983202,0.00021130974705732173,0.9948271831388142,0.0010945589253812877,0.0006773214050853598,0.0003823219651470103,0.00017646146658113814,6.666920067933965e-05,4.9783257823119415e-05,0.9999995963519636
98,8.409334091743144e-06,0.0033554588519509824,0.00019018549981886294,0.9944367882129391,0.0012022656764283338,0.0007514580944381673,0.0004124610185318177,0.00018709086487310147,7.42039640255415e-05,5.536705566003686e-05,0.9999999327253273
99,7.400214000733967e-06,0.0036075370506850747,0.0001708776687442207,0.994002395651096,0.0013165653454033067,0.0008341386672281859,0.00045450768899053345,0.000202362215583707,8.234419942634887e-05,6.135450153335798e-05,1.0000002690986909
100,6.79474194612846e-06,0.0038855159984217363,0.0001537899018697986,0.9935205744449755,0.0014398125458518942,0.0009252958487826816,0.0004995144450495427,0.00022146822264014745,9.135900557269751e-05,6.781287011581671e-05,0.9999995963519636
101,6.121995218789009e-06,0.004166185933067755,0.00013818217779552335,0.9930171580689074,0.0015701908616102798,0.001026611505920003,0.0005194950228515244,0.00023882508820550528,0.00010138293181005534,7.521308411655068e-05,0.9999996636266363
102,5.583797836917448e-06,0.004473698462134619,0.00012439086988506458,0.9924634202376343,0.0017104585542605554,0.0011392293080766272,0.0005683364352563686,0.0002608911808622393,0.00011261780215662419,8.315149549915621e-05,0.9999999327253274
103,5.247424473247722e-06,0.004809668177767941,0.00011214687944748656,0.991855862668174,0.0018612210958573266,0.001264763847398169,0.0006209452293343137,0.0002847736896827898,0.00012513089128513797,9.14935549181654e-05,1.0000004036480363
104,4.641952418642215e-06,0.005176247869495208,0.0001007101850827159,0.9911895743094171,0.002024564001255345,0.001403147849211894,0.0006777923277944974,0.0003112799107399642,0.00013845127648645913,0.0001007101850827159,0.9999995963519637
105,4.036480364036709e-06,0.0055944945098821445,9.082080819082595e-05,0.9904605186809993,0.0021837358769438596,0.0015555922576270136,0.0007392813786733232,0.0003212365623045881,0.0001524444084151197,0.00011093593533827555,1.0000001345493454
106,3.7001070003669833e-06,0.006062995330801339,8.160417802627547e-05,0.9896725304392666,0.0023361802853589793,0.001720886128534317,0.0007971375972245161,0.00032890587499625785,0.0001653611455800372,0.00012183443232117467,0.999999730901309
107,3.3637336366972577e-06,0.0065591460422141845,7.326211860726627e-05,0.9888254750348735,0.0025051069885939155,0.0018995003846429413,0.0008555320131575805,0.0003589103790355974,0.00017841243209042255,0.00013327112668594534,0.9999991254292545
108,2.8255362548256965e-06,0.007084359412248094,6.613100329746809e-05,0.9879147105154014,0.002693341522903494,0.002092444146043896,0.000918702930854755,0.0003934895608208452,0.0001928092120554868,0.00014605331450539492,0.9999998654506544
109,2.623712236623861e-06,0.007652897671522664,5.96053600422754e-05,0.9869423896703776,0.002881037859831201,0.002302004751610135,0.0009792501363153057,0.0004107791517134691,0.00020942605622077125,0.00015923915036124818,0.9999997981759817
110,2.0855148547522996e-06,0.008199504387485968,5.3819738187156124e-05,0.9859499536982065,0.0030913384867975137,0.002529124046759934,0.0009986925167354158,0.00045181670208117565,0.00022725384449526673,0.00017377047967178033,0.9999995963519637
111,1.8164161638165192e-06,0.008785870435035035,4.823594035023868e-05,0.984882237367246,0.0033151613229833493,0.0027766275677481183,0.001073232854124627,0.00048700135592102896,0.0002475035209881842,0.00018890728103691798,0.9999988563305635
112,1.749141491082574e-06,0.009406210192314744,4.3661262604330406e-05,0.9837398461495509,0.0035576192435164875,0.003044582589247422,0.0011469658954410308,0.0005267606875067906,0.00026829139486297325,0.0002055913998749364,0.9999992599786
113,1.5473174728807386e-06,0.009982552313626452,3.922113420389002e-05,0.9825942257475646,0.003826717934452268,0.0033319799911668353,0.0011502623544049943,0.0005743911558024237,0.0002873974019194137,0.0002234864628221658,0.9999997309013091
114,1.4800428001467934e-06,0.01056878381183005,3.5453752530789095e-05,0.9813870490200267,0.0041283775669912785,0.0036357924132333318,0.0012111459332292147,0.0006247798856801486,0.0003036778727210284,0.00024232337118767043,0.9999992599786
115,1.345493454678903e-06,0.011206749533366051,3.222456823955973e-05,0.9800927515912983,0.0044478649878047834,0.0039562889541378465,0.0012979302610560037,0.0006600990888654698,0.0003203619915590468,0.00026290942104425765,1.0000001345493454
116,1.278218781944958e-06,0.01189618037954352,2.886083460286247e-05,0.9786984839988873,0.004791302192111574,0.004298649763680894,0.0013972949526840407,0.0007075950078156351,0.00034215898552484507,0.0002851773377191935,0.9999999327253272
117,1.1436694364770676e-06,0.012633039869998423,2.6169847693504665e-05,0.9772035734960662,0.0051603037720572625,0.004666978596899243,0.0014983415111304264,0.0007616165700209931,0.00036839610789108366,0.0003089925718670101,1.0000002018240182
118,1.0091200910091773e-06,0.013380125110708883,2.3546135456880804e-05,0.9756385627842565,0.005560453525478769,0.0050616791018293,0.001567567149373656,0.0008207510073541309,0.00039463323025732224,0.0003347587715241111,1.0000001345493454
119,9.418454182752322e-07,0.014109584387163051,2.1191521911192724e-05,0.9740370219251522,0.00598031475801132,0.005488604174998915,0.0016036936486317846,0.0008743016468503512,0.00042679052382414804,0.00036240866201776254,1.0000000672746727
120,8.072960728073419e-07,0.014906049237660228,1.9240556401908314e-05,0.9723141175564359,0.006416456461345487,0.005950848451353853,0.0017247207848801519,0.0009282559343829752,0.00046210972700946927,0.00039221134203890024,0.9999997309013091
121,6.727467273394515e-07,0.015768510542109405,1.7155041547156013e-05,0.9704656113737252,0.006872107819772497,0.006451304741821671,0.0018503898735471615,0.0009879285690979846,0.000500456290467818,0.0004243013609329921,0.9999996636266363
122,6.054720546055064e-07,0.016692259073419206,1.5742273419743165e-05,0.96848780327002,0.007351305313656389,0.00699374042807547,0.001979691794541804,0.0010558759885592691,0.0005425029609265337,0.0004583423453363683,0.9999997981759817
